,country_code,gdp_pc_2023_usd
0,ABW,33984.79062
1,AFE,1568.159891
2,AFG,413.757895
3,AFW,1599.392983
4,AGO,2309.53413
5,ALB,8575.171346
6,AND,46812.448449
7,ARB,7479.688091
8,ARE,49040.694752
9,ARG,14187.482725
10,ARM,8125.273958
11,ASM,
12,ATG,21494.5474
13,AUS,64835.919975
14,AUT,56033.573792
15,AZE,7133.02838
16,BDI,192.074305
17,BEL,54690.094273
18,BEN,1394.177847
19,BFA,882.68981
20,BGD,2551.017738
21,BGR,15883.861855
22,BHR,29290.128422
23,BHS,38231.774484
24,BIH,8663.02323
25,BLR,7896.753883
26,BLZ,7459.998151
27,BMU,132604.439086
28,BOL,3686.279964
29,BRA,10377.589279
30,BRB,23804.024991
31,BRN,32890.549247
32,BTN,3839.409304
33,BWA,7826.353765
34,CAF,495.978897
35,CAN,54220.328504
36,CEB,22699.535173
37,CHE,100631.802755
38,CHI,74589.138116
39,CHL,17067.03648
40,CHN,12951.17824
41,CIV,2554.673049
42,CMR,1736.860911
43,COD,633.395662
44,COG,2477.978455
45,COL,7000.836605
46,COM,1682.202851
47,CPV,4861.291841
48,CRI,16942.026812
49,CSS,17582.26368
50,CUB,
51,CUW,21061.741639
52,CYM,97749.507896
53,CYP,36551.417969
54,CZE,31591.056822
55,DEU,53940.407345
56,DJI,3397.520158
57,DMA,9912.962128
58,DNK,68453.876928
59,DOM,10630.431744
60,DZA,5364.02795
61,EAP,10125.766807
62,EAR,4322.182794
63,EAS,13117.909545
64,ECA,8571.410187
65,ECS,29835.718052
66,ECU,6737.847484
67,EGY,3456.789685
68,EMU,45068.701093
69,ERI,
70,ESP,33509.012798
71,EST,30133.30445
72,ETH,
73,EUU,41392.07438
74,FCS,1781.8601
75,FIN,52821.511434
76,FJI,5888.736673
77,FRA,44690.93454
78,FRO,71774.352235
79,FSM,3941.372479
80,GAB,8071.397774
81,GRB,49200.810153
82,GEO,8283.669607
83,GHA,2383.904105
84,GIB,
85,GIN,1555.493758
86,GMB,888.157407
87,GNB,964.927554
88,GNQ,6677.793435
89,GRC,23400.727882
90,GRD,11308.287425
91,GRL,58498.974314
92,GTM,5758.308763
93,GUM,
94,GUY,20473.700219
95,HIC,48708.462469
96,HKG,50565.464772
97,HND,3227.457625
98,HPC,1173.17371
99,HRV,21865.456284
100,HTI,1705.758085
101,HUN,22312.179029
102,IBD,7964.736753
103,IBT,6162.305888
104,IDA,1480.943613
105,IDB,1729.919829
106,IDN,4876.307745
107,IDX,1347.74691
108,IMN,
109,IND,2530.120313
110,INX,
111,IRL,103887.800388
112,IRN,4465.637669
113,IRQ,5965.318351
114,ISL,79960.096154
115,ISR,52003.720073
116,ITA,39065.424437
117,JAM,6839.725024
118,JOR,4466.083142
119,JPN,33836.175627
120,KAZ,12879.427526
121,KEN,1952.304579
122,KGZ,2138.222102
123,KHM,2429.748535
124,KIR,2177.701141
125,KNA,22600.45023
126,KOR,33121.371289
127,KWT,34075.849044
128,LAC,10166.928671
129,LAO,2066.949798
130,LBN,3477.724898
131,LBR,799.19447
132,LBY,6172.812469
133,LCA,13554.768478
134,LCN,10838.827949
135,LDC,1254.232793
136,LIC,697.171192
137,LIE,207973.617747
138,LKA,3798.890166
139,LMC,2443.408276
140,LMY,5819.840863
141,LSO,916.28297
142,LTE,12422.725398
143,LTU,27786.005783
144,LUX,131407.681365
145,LVA,22675.57863
146,MAC,67476.529081
147,MAF,
148,MAR,3771.446289
149,MCO,256580.515123
150,MDA,6799.585946
151,MDG,508.718428
152,MDV,12530.360236
153,MEA,6063.052477
154,MEX,13826.130657
155,MHL,6678.342391
156,MIC,6347.753919
157,MKD,8624.284002
158,MLI,1035.862426
159,MLT,40182.431385
160,MMR,1233.196662
161,MNA,2797.407307
162,MNE,12077.374709
163,MNG,5838.631081
164,MNP,
165,MOZ,622.985619
166,MRT,2120.823184
167,MUS,11182.186569
168,MWI,602.34362
169,MYS,11379.085192
170,NAC,79326.90766
171,NAM,4187.605004
172,NCL,
173,NER,638.336081
174,NGA,1596.636961
