,country_code,pais,region
0,AGO,Angola,ÁFRICA  SUBSAHARIANA
1,ARE,United Arab Emirates,ASIA
2,ARG,Argentina,AMÉRICA  DEL  SUR
3,ARM,Armenia,ASIA
4,AUS,Australia,OCEANÍA
5,AUS,Australia,OCEANÍA
6,AUT,Austria,EUROPA  OCCIDENTAL
7,AZE,Azerbaijan,ASIA
8,BEL,Belgium,EUROPA  OCCIDENTAL
9,BEL,Belgium,EUROPA  OCCIDENTAL
10,BGD,Bangladesh,ASIA
11,BGR,Bulgaria,EUROPA  CENTRAL  Y  ORIENTAL
12,BOL,Bolivia,AMÉRICA  DEL  SUR
13,BOL,Bolivia,AMÉRICA  DEL  SUR
14,BOL,Bolivia,AMÉRICA  DEL  SUR
15,BOL,Bolivia,AMÉRICA  DEL  SUR
16,BOL,Bolivia,AMÉRICA  DEL  SUR
17,BOL,Bolivia,AMÉRICA  DEL  SUR
18,BOL,Bolivia,AMÉRICA  DEL  SUR
19,BRA,Brazil,AMÉRICA  DEL  SUR
20,BRA,Brazil,AMÉRICA  DEL  SUR
21,BRA,Brazil,AMÉRICA  DEL  SUR
22,BRA,Brazil,AMÉRICA  DEL  SUR
23,BRA,Brazil,AMÉRICA  DEL  SUR
24,BRA,Brazil,AMÉRICA  DEL  SUR
25,BRA,Brazil,AMÉRICA  DEL  SUR
26,BRA,Brazil,AMÉRICA  DEL  SUR
27,BRA,Brazil,AMÉRICA  DEL  SUR
28,BRA,Brazil,AMÉRICA  DEL  SUR
29,BRA,Brazil,AMÉRICA  DEL  SUR
30,BRB,Barbados,AMÉRICA  CENTRAL  Y  CARIBE
31,CAN,Canada,AMÉRICA  DEL  NORTE
32,CAN,Canada,AMÉRICA  DEL  NORTE
33,CAN,Canada,AMÉRICA  DEL  NORTE
34,CAN,Canada,AMÉRICA  DEL  NORTE
35,CHE,Switzerland,EUROPA  OCCIDENTAL
36,CHE,Switzerland,EUROPA  OCCIDENTAL
37,CHL,Chile,AMÉRICA  DEL  SUR
38,CHL,Chile,AMÉRICA  DEL  SUR
39,CHL,Chile,AMÉRICA  DEL  SUR
40,CHL,Chile,AMÉRICA  DEL  SUR
41,CHL,Chile,AMÉRICA  DEL  SUR
42,CHL,Chile,AMÉRICA  DEL  SUR
43,CHL,Chile,AMÉRICA  DEL  SUR
44,CHN,China,ASIA
45,CHN,China,ASIA
46,CHN,China,ASIA
47,CHN,China,ASIA
48,CHN,China,ASIA
49,CHN,China,ASIA
50,COL,Colombia,AMÉRICA  DEL  SUR
51,CRI,Costa Rica,AMÉRICA  CENTRAL  Y  CARIBE
52,CUB,Cuba,AMÉRICA  CENTRAL  Y  CARIBE
53,CZE,Czechia,EUROPA  CENTRAL  Y  ORIENTAL
54,DEU,Germany,EUROPA  OCCIDENTAL
55,DEU,Germany,EUROPA  OCCIDENTAL
56,DEU,Germany,EUROPA  OCCIDENTAL
57,DEU,Germany,EUROPA  OCCIDENTAL
58,DNK,Denmark,EUROPA  OCCIDENTAL
59,DOM,Dominican Republic,AMÉRICA  CENTRAL  Y  CARIBE
60,DZA,Algeria,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
61,ECU,Ecuador,AMÉRICA  DEL  SUR
62,ECU,Ecuador,AMÉRICA  DEL  SUR
63,EGY,"Egypt, Arab Rep.",ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
64,ESP,Spain,EUROPA  OCCIDENTAL
65,ESP,Spain,EUROPA  OCCIDENTAL
66,ESP,Spain,EUROPA  OCCIDENTAL
67,ESP,Spain,EUROPA  OCCIDENTAL
68,ESP,Spain,EUROPA  OCCIDENTAL
69,ESP,Spain,EUROPA  OCCIDENTAL
70,ESP,Spain,EUROPA  OCCIDENTAL
71,ETH,Ethiopia,ÁFRICA  SUBSAHARIANA
72,FIN,Finland,EUROPA  OCCIDENTAL
73,FRA,France,EUROPA  OCCIDENTAL
74,FRA,France,EUROPA  OCCIDENTAL
75,GRB,United Kingdom,EUROPA  OCCIDENTAL
76,GRB,United Kingdom,EUROPA  OCCIDENTAL
77,GRC,Greece,EUROPA  OCCIDENTAL
78,GTM,Guatemala,AMÉRICA  CENTRAL  Y  CARIBE
79,GUY,Guyana,AMÉRICA  CENTRAL  Y  CARIBE
80,HND,Honduras,AMÉRICA  CENTRAL  Y  CARIBE
81,HTI,Haiti,AMÉRICA  CENTRAL  Y  CARIBE
82,HUN,Hungary,EUROPA  CENTRAL  Y  ORIENTAL
83,IDN,Indonesia,ASIA
84,IND,India,ASIA
85,IND,India,ASIA
86,IRL,Ireland,EUROPA  OCCIDENTAL
87,IRN,"Iran, Islamic Rep.",ASIA
88,ISR,Israel,ASIA
89,ISR,Israel,ASIA
90,ITA,Italy,EUROPA  OCCIDENTAL
91,ITA,Italy,EUROPA  OCCIDENTAL
92,ITA,Italy,EUROPA  OCCIDENTAL
93,ITA,Italy,EUROPA  OCCIDENTAL
94,JAM,Jamaica,AMÉRICA  CENTRAL  Y  CARIBE
95,JPN,Japan,ASIA
96,KEN,Kenya,ÁFRICA  SUBSAHARIANA
97,KOR,"Korea, Rep.",ASIA
98,KWT,Kuwait,ASIA
99,LBN,Lebanon,ASIA
100,LBY,Libya,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
101,LCA,St. Lucia,AMÉRICA  CENTRAL  Y  CARIBE
102,MAR,Morocco,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
103,MEX,Mexico,AMÉRICA  DEL  NORTE
104,MEX,Mexico,AMÉRICA  DEL  NORTE
105,MEX,Mexico,AMÉRICA  DEL  NORTE
106,MOZ,Mozambique,ÁFRICA  SUBSAHARIANA
107,MYS,Malaysia,ASIA
108,NGA,Nigeria,ÁFRICA  SUBSAHARIANA
109,NIC,Nicaragua,AMÉRICA  CENTRAL  Y  CARIBE
110,NLD,Netherlands,EUROPA  OCCIDENTAL
111,NOR,Norway,EUROPA  OCCIDENTAL
112,NZL,New Zealand,OCEANÍA
113,PAK,Pakistan,ASIA
114,PAN,Panama,AMÉRICA  CENTRAL  Y  CARIBE
115,PER,Peru,AMÉRICA  DEL  SUR
116,PER,Peru,AMÉRICA  DEL  SUR
117,PHL,Philippines,ASIA
118,POL,Poland,EUROPA  CENTRAL  Y  ORIENTAL
119,PRT,Portugal,EUROPA  OCCIDENTAL
120,PRY,Paraguay,AMÉRICA  DEL  SUR
121,PRY,Paraguay,AMÉRICA  DEL  SUR
122,PRY,Paraguay,AMÉRICA  DEL  SUR
123,PRY,Paraguay,AMÉRICA  DEL  SUR
