,red_id,sede_id,tipo_red,url
0,1,CALEG,twitter,https://twitter.com/ArgPortoAlegre
1,2,CALEG,facebook,https://www.facebook.com/ArgentinaEnPortoAlegre/
2,3,CALEG,instagram,https://www.instagram.com/argenportoalegre/
3,4,CANTO,facebook,https://www.facebook.com/Consulado-de-la-Rep%C3%BAblica-Argentina-en-Antofagasta-255728465291743/
4,5,CANTO,instagram,https://www.instagram.com/consulargantofagasta/
5,6,CAREN,facebook,https://www.facebook.com/profile.php?id=100014152878593
6,7,CATLA,instagram,https://instagram.com/ARGenAtlanta
7,8,CATLA,facebook,https://facebook.com/ARGenAtlanta
8,9,CATLA,linkedin,https://www.linkedin.com/company/ARGenAtlanta
9,10,CATLA,twitter,https://x.com/ARGenAtlanta
10,11,CBARC,facebook,https://www.facebook.com/ArgEnBarcelona/
11,12,CBARC,twitter,https://twitter.com/argenbarcelona
12,13,CBARC,instagram,https://www.instagram.com/argenbarcelona/
13,14,CBARC,youtube,https://www.youtube.com/@consuladoargentinoenbarcel2664
14,15,CBARC,linkedin,https://www.linkedin.com/company/consulado-y-centro-de-promoci%C3%B3n-de-la-republica-argentina-en-barcelona
15,16,CBELO,facebook,https://www.facebook.com/ArgentinaEnBeloHorizonte/
16,17,CBELO,twitter,https://twitter.com/consgralbelo
17,18,CBELO,instagram,https://www.instagram.com/consgralbelo/
18,19,CBONN,facebook,https://www.facebook.com/ConsuladoArgentinoenBonn
19,20,CBONN,instagram,http://www.instagram.com/argentinaenbonn
20,21,CCADI,facebook,https://www.facebook.com/ArgentinaEnCadiz
21,22,CCEST,facebook,https://www.facebook.com/ArgEnCiudaddeleste/
22,23,CCEST,instagram,https://www.instagram.com/argenciudaddeleste
23,24,CCHIC,twitter,https://twitter.com/argenchicago
24,25,CCHIC,facebook,https://www.facebook.com/ArgentinaEnChicago
25,26,CCHIC,youtube,https://www.youtube.com/channel/UCjZ3a6zTr156aP_zg-1lQfQ/featured
26,27,CCOCH,facebook,https://www.facebook.com/ArgentinaEnCochabamba/
27,28,CCOLO,facebook,https://www.facebook.com/ArgentinaenColonia
28,29,CCURI,facebook,https://www.facebook.com/ArgEnCuritiba/
29,30,CCURI,instagram,https://instagram.com/argEncuritiba
30,31,CCURI,twitter,https://twitter.com/ARGenCuri
31,32,CFDIG,twitter,https://twitter.com/argentinaenfoz
32,33,CFDIG,facebook,https://www.facebook.com/ArgentinaEnFozDeIguazu
33,34,CFDIG,instagram,https://www.instagram.com/argentinaenfoz/
34,35,CFLOR,facebook,https://www.facebook.com/cflor.mrecic.gov.ar
