,sede_id,country_code,pais,ciudad,tipo_sede,telefono,email,sitio_web,region_geo
0,CALEG,BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL,Porto  Alegre,Consulado General,00  55  (51)  3321  1360,caleg@cancilleria.gov.ar,caleg.cancilleria.gob.ar,AMÉRICA  DEL  SUR
1,CANTO,CHL,REPÚBLICA  DE  CHILE,Antofagasta,Consulado General,+56  432643653,canto@mrecic.gov.ar  ,https://canto.cancilleria.gob.ar/,AMÉRICA  DEL  SUR
2,CAREN,CHL,REPÚBLICA  DE  CHILE,Punta  Arenas,Consulado General,+56  61  2261532,caren@mrecic.gov.ar,https://caren.cancilleria.gob.ar/,AMÉRICA  DEL  SUR
3,CASUN,PRY,REPÚBLICA  DEL  PARAGUAY,Asunción,Consulado General,+595 971203686,casun@mrecic.gov.ar,www.casun.mrecic.gov.ar,AMÉRICA  DEL  SUR
4,CATLA,USA,ESTADOS UNIDOS DE AMÉRICA,Atlanta,Consulado General,+1  404  880  0805,catla@mrecic.gov.ar,www.catla.mrecic.gov.ar,AMÉRICA  DEL  NORTE
5,CBARC,ESP,REINO  DE  ESPAÑA,Barcelona,Consulado  General  y  Centro  de  Promoción,+1  404  880  0805,cbarc@cancilleria.gob.ar,https://cbarc.cancilleria.gob.ar/,EUROPA  OCCIDENTAL
6,CBEIJ,CHN,REPÚBLICA  POPULAR  DE  CHINA,Beijing,Consulado General,(86-10)  8532  3921,cbeij@mrecic.gov.ar    ,www.echin.cancilleria.gov.ar,ASIA
7,CBELO,BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL,Belo  Horizonte,Consulado General,00  55  31  3047  5490,cbelo@mrecic.gov.ar,,AMÉRICA  DEL  SUR
8,CBONN,DEU,REPÚBLICA  FEDERAL  DE  ALEMANIA,Bonn,Consulado General,+49  (0)  228  24  96288,cbonn@mrecic.gov.ar,cbonn.cancilleria.gob.ar,EUROPA  OCCIDENTAL
9,CCADI,ESP,REINO  DE  ESPAÑA,Cádiz,Consulado General,00  34  956  22  89  22,ccadi@mrecic.gov.ar,https://ccadi.cancilleria.gob.ar/,EUROPA  OCCIDENTAL
10,CCEST,PRY,REPÚBLICA  DEL  PARAGUAY,Ciudad  del  Este,Consulado General,00  595  61  500945,ccest@mrecic.gov.ar,ccest.cancilleria.gov.ar/,AMÉRICA  DEL  SUR
11,CCHIC,USA,Estados  Unidos  de  América,Chicago,Consulado General,00  1  312  819  2616,cchic@mrecic.gov.ar,https://cchic.cancilleria.gob.ar/,AMÉRICA  DEL  NORTE
12,CCOCH,BOL,ESTADO  PLURINACIONAL  DE  BOLIVIA,Cochabamba,Consulado General,00  591  (4)  4255859,ccoch@cancilleria.gob.ar,https://ccoch.cancilleria.gob.ar,AMÉRICA  DEL  SUR
13,CCOLO,URY,REPÚBLICA  ORIENTAL  DEL  URUGUAY,Colonia,Consulado General,00  598  4522-2086,ccolo@mrecic.gov.ar,ccolo.mrecic.gov.ar,AMÉRICA  DEL  SUR
14,CCONC,CHL,REPÚBLICA  DE  CHILE,Concepción,Consulado General,(56-41)  2230257,cconc@mrecic.gov.ar,http://www.cconc.mrecic.gov.ar/,AMÉRICA  DEL  SUR
15,CCURI,BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL,Curitiba,Consulado General,(55-41)  3029-2411,ccuri@mrecic.gov.ar,ccuri.cancilleria.gob.ar  ,AMÉRICA  DEL  SUR
16,CENCA,PRY,REPÚBLICA  DEL  PARAGUAY,Encarnación,Consulado General,00  595-71  201  066,cenca@mrecic.gov.ar,www.cenca.mrecic.gov.ar,AMÉRICA  DEL  SUR
17,CFBEN,URY,REPÚBLICA  ORIENTAL  DEL  URUGUAY,Fray  Bentos,Consulado General,(00  598)  4562  3510,cfben@mrecic.gov.ar,cfben.cancilleria.gov.ar,AMÉRICA  DEL  SUR
