sede_id,sede_desc_castellano,sede_desc_ingles,tipo_seccion,nombre_titular,apellido_titular,cargo_titular,telefono_principal,telefonos_adicionales,celular_de_guardia,celulares_adicionales,fax_principal,faxes_adicionales,correo_electronico,correos_adicionales,sitio_web,sitios_web_adicionales,atencion_dia_desde,atencion_dia_hasta,atencion_hora_desde,atencion_hora_hasta,comentario_del_horario,temas
ECHES,Administración,Administrative  Section,Sección,Gustavo  Alberto  ,Rodríguez,Jefatura  de  Sección  Administrativa,420  224  210  140,,,,,,eches_adm@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
ERUNI,Administración,Administration,Sección,María  Carolina  ,Etcheverry,Agregado,,,,,,,administration@argentine-embassy-uk.org  ,,,,Lunes,Viernes,9.0000000,18.0000000,,
EHAIT,Administración,Todo  el  territorio  de  Haiti,Sección,Sergio  Fabián  ,Pérez  Godoy,Jefatura  de  Sección  Administrativa,509  2940-67/11/12/13/14,,00  509  3676  0359,,,,ehait@cancilleria.gob.ar,,,,Lunes,Viernes,,,9.00  hs  a  17.00  hs,
EKENY,Administración,Administrative  Section,Sección,Héctor  Osvaldo  ,Coira,Jefatura  de  Sección  Administrativa,+254  (0)  112  170  342  ,,,,,,adminkenya@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
ERUNI,Administración,Administracion,Sección,Carlos  Esteban  ,Pronato,Jefatura  de  Sección,44  2073181300,,,,,,administration@argentine-embassy-uk.org,,,,Lunes,Viernes,9.0000000,18.0000000,,
CNYOR,Administración,Administration  Department,Sección,Paula  Daniela  ,Roccanova,Jefatura  de  Sección  Administrativa,1  212  603  0400,1  212  603  0414  //  1  212  603  0432,16462835892,,,,cnyor@cancilleria.gob.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
EPBAJ,Administración,Administration,Sección,Pablo  ,Galiñanes,Jefatura  de  Sección,0031  (070)  3118425        /        0031  (070)  3118415,,,,,,epbaj@mrecic.gov.ar,,,,,,,,,
EECUA,Administración  y  Logística,Administration  and  Logistics,Sección,Santiago  ,Maglione,Jefatura  de  Sección,(593)  2256  -  2292  int.  224,,(593)  99  973  -  8957,,,,one@mrecic.gov.ar,,http://eecua.mrecic.gov.ar/,,Lunes,Viernes,9.0000000,16.0:59,,
ESSED,"Administración, Economato, Contabilidad  e  Inventario",Administration  Area,Sección,Cecilia  Lorena  ,Contartese,Jefatura  de  Sección  Administrativa,39  06  686-5303,,39  366  832  5997,,39  06  687  9021,,essed@mrecic.gov.ar,,http://essed.mrecic.gov.ar/,,Lunes,Viernes,9.0000000,16.0:59,,
EJAPO,Administrativa,Administration,Sección,Federico  Sebastián  ,Yulita,Jefatura  de  Sección,,,,,,,admin_ejapo@mrecic.gov.ar,,,,,,,,,
ESALV,Administrativa  -  Contable,Administrativa  -  Contable,Sección,Karina  Beatriz  ,Cobos,Jefatura  de  Sección,503  2521-9400,,503  7862  6494,,,,administracion.esalv@mrecic.gov.ar,,,,Lunes,Viernes,7.0:59,16.0000000,,
EGUAT,Agregada  Administrativa,Administración,Sección,Sonia  ,Tabakian,Jefatura  de  Sección  Administrativa,(502)  2464-5900  ext  11  y  17,,,,,,administracion-eguat@mrecic.gov.ar,,,,Lunes,Viernes,0.0000000,0.0000000,8.00  a  15.00  hs,
ETAIL,Agregada  Administrativa,Administration  Attaché,Sección,Guillermina  ,Cheresole,Jefatura  de  Sección,+66  2259  0401,,,,+66  2259  0402,,administracion_etail@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
ETURQ,Agregada  para  Asuntos  Administrativos,Administrative  Affairs,Sección,Andrea  Vivian  ,Ciampoli,Agregado,+  90  312  446  20  61,,,,,,eturq@cancilleria.gob.ar,,http://turquia.embajada.gob.ar,,Lunes,Viernes,9.0000000,16.0:59,,
