Country Name,country_code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,6767.55922900000,8244.04566000000,10056.2613930000,11507.2171510000,12187.5363610000,13233.9905170000,13892.6051430000,14700.9598080000,16055.2877870000,16548.7173870000,16620.9545560000,17750.0095640000,18828.0870590000,19216.1972350000,20681.0230270000,20740.1325830000,21307.2482510000,21949.4859960000,23700.6319900000,24171.8371330000,24845.65848400,26736.3089440000,28171.9094010000,25134.7712300000,24093.1401510000,25712.3843020000,25119.6655450000,25813.5767270000,26129.8390620000,27458.2253310000,27441.5296620000,28440.051964000,30082.1276450000,31096.2050740000,22855.9323200000,27200.0610790000,30559.5335350000,33984.7906200000,
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,186.121835000000,186.941781000000,197.402402000000,225.440494000000,208.999748000,226.876513000000,240.955232000000,243.817323000000,257.190082000000,281.629277000000,276.782060000000,294.866149000000,311.51901900000,389.796972000000,463.549790000000,479.162165000000,468.856331000000,518.450613000000,571.720267000000,634.561894000000,773.439454000000,777.833110000000,725.728116000000,732.588724000000,650.563520000000,554.439147000000,578.603957000000,665.119756000000,704.466222000,728.549337000000,822.79386800000,864.563865000000,733.243856000000,709.659255000000,701.041552000000,766.820591000000,747.069674000000,767.684192000000,697.352672000000,670.697829000000,707.120378000000,626.169150000000,625.998816000000,809.968140000000,981.744632000000,1115.71395700000,1220.00246900000,1362.31065200000,1421.11861300000,1386.59025000000,1601.72765100000,1735.58492300000,1702.9691000000,1673.22110200000,1656.16770900000,1479.61526000000,1329.80728500000,1520.21223100000,1538.90167900000,1493.81793800000,1344.10321000000,1522.3933460000,1628.31894400000,1568.15989100000,1673.84113900000
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.930991000000,138.706822000000,178.954088000000,198.871116000000,221.763654000000,254.184249000000,274.218554000000,376.223152000000,381.73323800000,452.053705000000,560.621505000000,606.694676000000,651.417134000000,637.087099000000,625.054942000000,565.569730000000,522.082216000000,525.469771000000,491.337221000000,496.6025040000,510.787063000000,356.496214000000,357.261153000000,413.757895000000,
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,121.939925000000,127.454189000000,133.82704400000,139.008291000000,148.549379000000,155.565216000000,162.110768000000,144.943480000000,146.189167000000,161.921407000000,218.67629300000,195.862004000000,230.070787000000,280.649304000000,368.301914000000,413.371448000000,480.452655000000,490.847767000000,523.788096000000,624.878297000000,757.075555000000,1324.54659000000,1162.13067600000,872.832678000000,737.674888000000,753.799755000000,581.390713000000,581.523802000000,560.380582000000,509.326734000000,590.321435000000,603.878910000000,563.310079000000,570.888638000000,577.548739000000,863.950571000000,1065.68349900000,1088.99680500000,1137.74449600000,521.364734000000,516.932316000000,530.653168000000,616.796033000000,694.500938000000,840.252085000000,1001.60460700000,1236.62812700000,1407.64205800000,1668.84108200000,1454.72833100000,1663.96693700000,1844.1985950000,1941.36955600000,2131.66206700000,2221.01066500000,1860.72769400000,1630.03944700000,1574.23056000000,1720.14028000000,1798.34068500000,1680.03933200000,1765.9547880000,1796.66863300000,1599.39298300000,1284.15444100000
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,729.111965000000,657.982649000000,634.221467000000,636.83281100000,650.491094000000,772.468833000000,697.526602000000,770.10114000000,807.43962800000,907.747893000000,965.866840000000,881.919488000000,668.706017000000,449.727895000000,334.973590000000,404.29481800000,531.115367000000,521.70291500000,429.188127000000,392.725539000000,563.733796000000,533.586202000000,882.147847000000,992.698979000000,1266.21086400000,1916.46842200000,2617.05196000000,3141.0459800000,4103.0669000000,3136.64547000000,3597.34293200000,4615.91059800000,5086.02740100000,5057.74787800000,5005.9997410000,3213.90261100000,1807.95294100000,2437.25971200000,2538.59139100000,2189.85571400000,1449.92286700000,1925.87466100000,2929.69445500000,2309.53413000000,2122.08369000000
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,590.607738000000,663.2942080000,668.454504000000,661.546782000000,639.484730000000,639.865904000000,693.873475000000,674.793383000000,652.774321000000,697.995597000000,617.230436000000,336.586995000000,200.852220000000,367.279225000000,586.416135000000,911.320465000000,1020.97618100000,728.545524000000,831.175344000000,1056.34481200000,1160.42047100000,1326.41652400000,1479.83884600000,1908.69900700000,2446.90949900000,2741.72136500000,3057.77257000000,3743.05529900000,4498.50486800000,4213.65007600000,4149.14469900000,4465.70914300000,4222.3470990000,4420.23462000000,4602.23051400000,3981.72662300000,4168.37544500000,4614.0479690000,5365.48880200000,5460.4305090000,5370.77750000000,6413.28280800000,6846.42669400000,8575.17134600000,10011.6279860000
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,3935.41127800000,4169.69537100000,4940.29696200000,6151.02717000000,7139.5745120000,7925.41577100000,7721.28858600000,8167.92286200000,9409.50851300000,11996.4072860000,12474.9252920000,10465.2604640000,9697.52202000000,8082.09152000000,7808.13002700000,7911.98436200000,10539.1177870000,12828.1519430000,14599.0355180000,15714.9265520000,19563.6574720000,19533.2620670000,20099.5352210000,15916.8395160000,15748.5307500000,18443.2545200000,19130.1597150000,18247.9995650000,18536.5084280000,18875.286913000,21810.2487430000,23511.2951480000,26528.130158000,34063.5784030000,39021.1278100000,40829.801877000,43467.2109930000,48336.2283330000,49132.515708000,43975.0183670000,42746.8309530000,46657.1561170000,41500.5435790000,42470.3161160000,44369.659691000,38654.9347200000,40129.8192010000,40672.9943350000,42819.7745800000,41257.8045850000,37361.0900670000,42425.6996760000,42414.0590090000,46812.4484490000,49303.6733900000
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,,212.889663000000,210.805415000000,225.800630000000,243.897432000000,256.180141000000,263.950839000000,276.932974000000,307.536801000000,329.43142300000,357.694745000000,402.795035000000,470.195593000000,602.466748000000,1124.96681700000,1205.47381700000,1458.14400600000,1630.35982400000,1728.20571000000,2251.50602100000,2954.04919700000,2911.00787200000,2640.58578700000,2417.32459200000,2357.26890900000,2247.92745700000,2042.58558500000,2108.58586000000,2042.05761600000,2117.75262400000,2875.25714200000,2048.80975500000,1996.37756500000,1987.85771400000,2018.68578500000,2081.02068900000,2193.87330900000,2305.6160610000,2192.61188800000,2378.95049100000,2664.16579600000,2536.711965000,2483.10723400000,2696.67230500000,3133.73687700000,3750.69351700000,4355.08762200000,4940.70226500000,6091.93206400000,5134.45006100000,5928.30536000000,6894.19536800000,7362.6299090000,7351.94811300000,7311.28996900000,6262.04168500000,6012.51244400000,6066.72679100000,6668.2167280000,6638.48541500000,5722.48099500000,6681.70895200000,7931.61789300000,7479.68809100000,7521.15330900000
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,2394.06811500000,2805.42642700000,3675.41681400000,9695.81418800000,23822.9715560000,27117.1880730000,31196.9791790000,35020.3604360000,29379.1277420000,34238.2864450000,42925.2338780000,44854.4800320000,39972.4946670000,34650.0041250000,32012.3141540000,29467.5419760000,23132.0739680000,23112.623421000,21569.7068850000,23166.7305900000,26709.993440000,25690.9686320000,25648.2727760000,25032.7822700000,25472.6396580000,27003.2006810000,28323.1650870000,27982.7957040000,24889.4269190000,25855.8605050000,29865.502347000,27745.1708090000,27753.6089530000,29659.5428570000,33376.7152300000,38719.3138310000,44342.6048320000,45854.7325160000,50054.1700680000,37803.0663740000,43696.6712590000,50789.050541000,52034.4762480000,52023.5170960000,51381.4069900000,43534.9972690000,41326.4018160000,42340.5917160000,45689.8570050000,44251.4541400000,37173.8754090000,43360.0211000000,49899.0652980000,49040.6947520000,49377.5643380000
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,778.251707000000,971.338043000000,870.217491000000,852.972425000000,1176.20086200000,1281.83338000000,1275.07843400000,1063.93283800000,1141.95211600000,1329.56181800000,1322.71454200000,1372.50746600000,1409.37097300000,2097.89945000000,2844.96990500000,2026.68435800000,1946.91990400000,2126.48546000000,3282.06304400000,2511.97332900000,2747.5022750000,2764.08641400000,2914.76708500000,3537.7473460000,3915.03492600000,2905.77565500000,3436.07819500000,3477.30132000000,3992.70330200000,2374.57321600000,4315.33403100000,5709.24784100000,6789.99611100000,6931.85596400000,7437.56242300000,7357.6162770000,7663.21271300000,8146.78710000000,8218.99212800000,7705.54288300000,7637.01489200000,7141.47507700000,2569.69963500000,3320.47775100000,4242.02099100000,5067.65342300000,5869.38029000000,7185.25155100000,8944.1102660000,8150.23527000000,10260.1313110000,12704.2831820000,12949.717487000,12963.675773000,12233.1444120000,13679.6264980000,12699.9623140000,14532.5009310000,11752.7998920000,9955.97478700000,8535.59938000000,10738.0179220000,13935.6811110000,14187.4827250000,13858.2039800000
